Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Male,0.02070215,0.008310297,1.020917926,1.004423724,1.037683,0.285390127,0.094128348,1.028950152,1.010140931,1.04811,-5.38E-05,0.000994108,0.999311597,0.974696809,1.024548,0.002082806,0.001154485,1.013630296,0.998830784,1.028649
Cold All,0.016445252,0.008252063,1.016581219,1.000271245,1.033157,0.07764901,0.05637403,1.007795126,0.996720979,1.018992,-0.001532289,0.001001042,0.98057779,0.956258083,1.005516,0.001903761,0.000906736,1.012451327,1.000822968,1.024215
Cold Female,0.01603927,0.01026673,1.01616859,0.995924805,1.036824,0.09784051,0.07026364,1.009832071,0.996020318,1.023835,-0.002057816,0.001237581,0.974003828,0.944227188,1.004719,0.00220348,0.001126778,1.01442568,0.999967469,1.029093
Cold Male,0.01690655,0.01035973,1.017050275,0.996607248,1.037913,0.0578841,0.07061636,1.005805195,0.991979937,1.019823,-0.000987603,0.001264254,0.987438247,0.956610547,1.019259,0.001608721,0.001139906,1.010511549,0.995942538,1.025294
Age 0-10 All,0.03749245,0.008916835,1.038204159,1.020217106,1.056508,0.214768419,0.072514183,1.021709129,1.007290509,1.036334,-0.001121274,0.001074031,0.985750196,0.95954353,1.012673,0.004445033,0.001086725,1.029314158,1.015161627,1.043664
Age 0-10 Female,0.040944479,0.012375481,1.041794262,1.016828568,1.067373,0.308951282,0.099939699,1.031377336,1.011371112,1.051779,-0.002546249,0.001487175,0.967933408,0.932484981,1.004729,0.005078339,0.001507026,1.033560052,1.013905487,1.053596
Age 0-10 Male,0.035053665,0.010924179,1.035675287,1.013735755,1.05809,0.14419666,0.08920739,1.014524131,0.99693971,1.032419,-5.60E-05,0.001315343,0.999283457,0.966845929,1.032809,0.003987549,0.00133218,1.026257889,1.00898724,1.043824
Age 11-60 All,0.003273249,0.006225913,1.003278612,0.991110209,1.015596,0.07950573,0.05458689,1.007982263,0.997255316,1.018825,-0.000953872,0.000743145,0.987864673,0.969617531,1.006455,0.000434294,0.000776046,1.002826899,0.992960976,1.012791
Age 11-60 Female,-0.004299702,0.008130938,0.995709528,0.97996704,1.011705,0.02885977,0.0715554,1.002890145,0.988922926,1.017055,-0.001293748,0.000966434,0.983576388,0.960015479,1.007716,0.000202199,0.001011717,1.001315158,0.988491751,1.014305
Age 11-60 Male,0.011212641,0.008384379,1.011275738,0.994792863,1.028032,0.13161838,0.07325354,1.013248836,0.998804859,1.027902,-0.000591961,0.001005714,0.992451533,0.967723906,1.017811,0.000669542,0.001047375,1.004361507,0.991048768,1.017853
Age 60+All,0.007173025,0.011160676,1.007198813,0.985405645,1.029474,0.11001125,0.09943159,1.01106186,0.99154845,1.030959,-0.001987844,0.001335813,0.974876577,0.942747043,1.008101,0.001145201,0.001401789,1.00747158,0.989639063,1.025625
Age 60+ Female,0.003172779,0.014516964,1.003177818,0.975036405,1.032131,0.09821515,0.12889312,1.009869904,0.984677073,1.035707,-0.002238707,0.001733089,0.971751224,0.930405109,1.014935,0.001212426,0.001818099,1.007911904,0.984834362,1.03153
Age 60+ Male,0.01259194,0.01673615,1.012671552,0.979991957,1.046441,0.1284454,0.1498254,1.012927385,0.983614489,1.043114,-0.001700095,0.00201116,0.978473851,0.930328808,1.02911,0.00107216,0.002110353,1.00699338,0.980280173,1.034435
All: LAG 5,0.011779542,0.005080868,1.011849194,1.0018227,1.021976,0.09150128,0.04351302,1.009192118,1.000621769,1.017836,-0.000542619,0.000608925,0.993078541,0.978022861,1.008366,0.001368727,0.000628121,1.008936419,1.000894864,1.017043
Female,0.006659807,0.006493673,1.006682033,0.99395058,1.019577,0.0760255,0.0557882,1.007631523,0.996673608,1.01871,-0.000815164,0.000776406,0.989620147,0.97053038,1.009085,0.00072866,0.000802444,1.004747524,0.994528179,1.015072
Male,0.016792738,0.006521256,1.016934529,1.004019131,1.030016,0.10630458,0.05568011,1.010687162,0.999717196,1.021778,-0.000274473,0.000783071,0.99649291,0.97710717,1.016263,0.001995961,0.000806592,1.013058271,1.002701407,1.023522
Warm All,0.012656934,0.006359599,1.012737372,1.000192138,1.02544,0.176839,0.07199736,1.017841186,1.003578806,1.032306,0.000276256,0.000757626,1.003542336,0.984647821,1.022799,0.001342899,0.000881822,1.008767051,0.997497568,1.020164
Warm Female,0.008955014,0.008379696,1.00899523,0.992558635,1.025704,0.15504887,0.09500016,1.015625711,0.996889703,1.034714,-0.000216099,0.000997683,0.997237755,0.972586814,1.022513,0.001058684,0.001160484,1.006905178,0.992128027,1.021902
Warm Male,0.016278771,0.008397118,1.016411992,0.999820436,1.033279,0.19801866,0.0949982,1.019999223,1.001182918,1.039169,0.000753634,0.000999747,1.009693193,0.984683374,1.035338,0.00162125,0.001165393,1.010593847,0.995700289,1.02571
Cold All,0.010431057,0.008167196,1.01048565,0.994438873,1.026791,0.04960646,0.05604375,1.00497297,0.993994178,1.016073,-0.001702078,0.000998482,0.978449015,0.954243389,1.003269,0.001307809,0.000895128,1.008536993,0.997101038,1.020104
Cold Female,0.004881514,0.010181016,1.004893448,0.985039756,1.025147,0.03712522,0.07004318,1.003719422,0.990034051,1.017594,-0.001705305,0.001238355,0.978408601,0.948478882,1.009283,0.000448428,0.001115814,1.002919034,0.988762925,1.017278
